x, y, output
0.72, 0.68, 0.5291907447502029
0.76, 0.68, 0.5803054880545563
0.8, 0.68, 0.6287641303203698
0.84, 0.68, 0.6737275818987966
0.88, 0.68, 0.7146602157144133
0.92, 0.68, 0.7513167661441834
0.96, 0.68, 0.7836966539265653
0.0, 0.72, 0.029992171968614274
0.04, 0.72, 0.03600474726506038
0.08, 0.72, 0.043382024244380785
0.12, 0.72, 0.05242858107667703
0.16, 0.72, 0.0635021103067931
0.2, 0.72, 0.07701271286593253
0.24, 0.72, 0.09341553013705722
0.28, 0.72, 0.11319344930791761
0.32, 0.72, 0.1368265106480194
0.36, 0.72, 0.16474558112394502
0.4, 0.72, 0.19727045954700057
0.44, 0.72, 0.23453720190227265
0.48, 0.72, 0.2764256328205704
0.52, 0.72, 0.3225039003339623
0.56, 0.72, 0.37200937244658544
0.6, 0.72, 0.4238809339857734
0.64, 0.72, 0.47684586505556487
0.68, 0.72, 0.529548228737559
0.72, 0.72, 0.5806919288372175
0.76, 0.72, 0.6291670377756482
0.8, 0.72, 0.674134794151888
0.84, 0.72, 0.7150610131472109
0.88, 0.72, 0.7517025503341015
0.92, 0.72, 0.7840611895223831
0.96, 0.72, 0.8123220384567709
0.0, 0.76, 0.03595455794563571
0.04, 0.76, 0.04332759999432817
0.08, 0.76, 0.05237061712769678
0.12, 0.76, 0.06344184711030951
0.16, 0.76, 0.07695210634067695
0.2, 0.76, 0.0933574264661379
0.24, 0.76, 0.11314173318944733
0.28, 0.76, 0.13678617837812793
0.32, 0.76, 0.1647226742692115
0.36, 0.76, 0.19727179044915943
0.4, 0.76, 0.23456982132195964
0.44, 0.76, 0.2764960429832543
0.48, 0.76, 0.3226171016610627
0.52, 0.76, 0.3721679256708601
0.56, 0.76, 0.42408427672360005
0.6, 0.76, 0.47709009841523414
0.64, 0.76, 0.5298264729448009
0.68, 0.76, 0.5809951775109667
0.72, 0.76, 0.6294852944483121
0.76, 0.76, 0.6744582166737456
0.8, 0.76, 0.71538083557415
0.84, 0.76, 0.7520116597431267
0.88, 0.76, 0.7843543495792793
0.92, 0.76, 0.8125958307253771
0.96, 0.76, 0.8370433985757891
0.0, 0.8, 0.043281016020045915
0.04, 0.8, 0.05232045165927698
0.08, 0.8, 0.06338892655733867
0.12, 0.8, 0.07689780224335893
0.16, 0.8, 0.09330379843367327
0.2, 0.8, 0.11309165596218655
0.24, 0.8, 0.13674341607492357
0.28, 0.8, 0.1646918517977173
0.32, 0.8, 0.19725820683794104
0.36, 0.8, 0.23457906220219343
0.4, 0.8, 0.2765333882710678
0.44, 0.8, 0.3226867894595718
0.48, 0.8, 0.3722724074881714
0.52, 0.8, 0.4242236483410242
0.56, 0.8, 0.47726187920744567
0.6, 0.8, 0.5300258218714367
0.64, 0.8, 0.5812155046952795
0.68, 0.8, 0.6297191110492494
0.72, 0.8, 0.6746980143747731
0.76, 0.8, 0.7156198143047763
0.8, 0.8, 0.7522442014506387
0.84, 0.8, 0.784576223468839
0.88, 0.8, 0.8128041782822628
0.92, 0.8, 0.8372365739176612
0.96, 0.8, 0.858247381265154
0.0, 0.84, 0.05227840976498456
0.04, 0.84, 0.06334373722982538
0.08, 0.84, 0.0768502585512509
0.12, 0.84, 0.09325517714722359
0.16, 0.84, 0.11304382217637808
0.2, 0.84, 0.1366988973144157
0.24, 0.84, 0.16465384607727343
0.28, 0.84, 0.19723048333885668
0.32, 0.84, 0.2345657191236863
0.36, 0.84, 0.2765384569615717
